en,fr,de,it,pl,es,ga,lv,lt,bg,cs,da,nl,et,fi,el,hu,mt,pt,ro,sk,sl,sv
Domain Model,Modèle de domaine,Domänenmodell,Modello di dominio,Model domeny,Modelo de dominio,Samhail fearainn,Domēna modelis,Domeno modelis,Модел на домейн,Model domény,Domænemodel,Domeinmodel,Ainemudel,Käsitemalli,Μοντέλο τομέα,Tartománymodell,Mudell tad-Dominju ,Modelo de domínio,Model de domeniu,Model domény,Domenski model,Domänmodell
Information Exchange Package Description,Description de l'échange d'information,Beschreibung des Informationsaustauschpakets,Descrizione dello scambio di informazioni,Opis struktury i treści wymiany informacji,Descripción del intercambio de información,Tuairisc ar mhalartú faisnéise,Informācijas apmaiņas paketes apraksts,Informacijos mainų paketo aprašas,Описание на пакет за обмен на информация,Popis IEP (Information Exchange Package),Beskrivelse af informationsudveksling,Omschrijving informatie-uitwisselingspakket,Teabevahetuspaketi kirjeldus,Tiedonvaihtopaketin kuvaus,Περιγραφή πακέτου ανταλλαγής πληροφοριών,Információcsere-leírás,Deskrizzjoni tal-Pakkett ta’ Skambju ta’ Informazzjoni,Descrição do intercâmbio de informações,Descrierea schimbului de informaţii,Opis balíka pre výmenu informácií,Opis paketa izmenjave informacij,Beskrivning av informationsutbyte
Mapping,Inventaire,Abbildung,Mappatura,Mapowanie,Cartografía,Mapáil,Kartējums,Atvaizdis,Съпоставяне,Mapping,Tilknytning,Mapping,Vastendus,Mappaus,Χαρτογράφηση,Megfeleltetés,Immappjar,Cartografia,Inventar,Mapovanie,Preslikava,Mappning
Name Authority List,Liste de noms d'autorités,Liste zugelassener Namen,Elenco dei nomi autorizzati,Wykaz nazw urzędów,Lista de nombres de administraciones,Liosta ainmneacha údaraithe,Iestāžu nosaukumu saraksts,Institucijų pavadinimų sąrašas,Проверен списък с имена,Kodifikovaný seznam ,Liste over myndighedsnavne,Lijst geautoriseerde namen,Kinnitatud nimede loend,Hyväksyttyjen nimien luettelo,Κατάλογος εγκεκριμένων ονομάτων,Jóváhagyott névlista,Lista tal-Isem tal-Awtorità,Lista de nomes de entidades,Listă cu numele autorităţilor,Zoznam schválených názvov,Seznam odobrenih imen,Lista med myndighetsnamn
Ontology,Ontologie,Ontologie,Ontologia,Struktura pojęciowa,Ontología,Ointeolaíocht,Ontoloģija,Ontologija,Онтология,Ontologie,Ontologi,Ontologie,Ontoloogia,Ontologia,Οντολογία,Ontológia,Ontoloġija,Ontologia,Ontologie,Ontológia,Ontologija,Ontologi
Schema,Schéma,Schema,Schema,Schemat,Esquema,Scéimre,Shēma,Schema,Схема,Schéma,Skema,Schema,Skeem,Skeema,Σχήμα,Séma,Skema,Sistema,Schemă,Schéma,Shema,Schema
Service Description,Description du service,Dienstbeschreibung,Descrizione del servizio,Opis usługi,Descripción del servicio,Tuairisc seirbhíse,Pakalpojumu apraksts,Paslaugos aprašas,Описание на услугата,Provozní popis,Beskrivelse af tjenesten,Omschrijving service,Teenuse kirjeldus,Palvelun kuvaus,Περιγραφή υπηρεσίας,Szolgáltatás leírása,Deskrizzjoni tas-Servizz,Descrição do serviço,Descrierea serviciului,Opis služby,Opis storitve,Beskrivning av tjänsten
Statistical,Statistique,Statistisch,Statistiche,Statystyki,Estadísticas,Staidreamh,Statistika,Statistika,Статистически,Statistický,Statistisk,Statistisch,Statistiline,Tilastollinen,Στατιστικός,Statisztikai,Statistiku,Estatísticos,Statistic,Štatistiky,Statističen,Statistik
Syntax Encoding Scheme,Système d'encodage à syntaxe,Codierungssystem mit Syntax,Schema di codifica basato su una sintassi,System kodowania składniowego,Sistema de codificación de la sintaxis,Scéim ionchódaithe comhréire,Sintakses kodējumu shēma,Sintaksės kodavimo schema,Схема на кодиране със синтаксис,Syntaktické kódovací schéma,Kodeskema for syntaks,Syntax-encoderingsschema,Süntaksiga kodeerimisskeem,Syntaktinen koodausskeema,Σχήμα κωδικοποίησης σύνταξης,Szintaxiskódoló séma,Skema ta’ Kodifikazzjoni tas-Sintassi ,Sistema de codificação com sintaxe,Sistem de codificare a sintaxei,Syntaktická schéma kódovania,Shema kodiranja sintakse,Kodschema för syntax
Taxonomy,Taxinomie,Taxonomie,Tassonomia,Klasyfikacja,Taxonomía,Tacsanomaíocht,Taksonomija,Klasifikacija,Таксономия,Taxonomie,Taksonomi,Taxonomie,Taksonoomia,Taksonomia,Ταξινόμηση,Taxonómia,Tassonomija,Taxonomia,Taxonomie,Taxonómia,Taksonomija,Taxonomi
Thesaurus,Thésaurus,Thesaurus,Thesaurus,Słownik,Tesauro,Stórchiste focal,Tēzaurs,Tezauras,Тезаурус,Thesaurus,Tesaurus,Thesaurus,Tesaurus,Tesaurus,Θησαυρός,Tezaurusz,Teżawru,Thesaurus,Tezaur,Synonymický slovník,Tezaver,Tesaurus
Main Documentation,Documentation principale,Zentrale Unterlagen,Documentazione principale,Dokumenty główne,Documentación principal,Doiciméadacht phríomha,Galvenā dokumentācija,Pagrindiniai dokumentai,Основна документация,Hlavní dokumentace,Hoveddokumentation,Belangrijkste documentatie,Põhidokumentatsioon,Päädokumentaatio,Κύρια τεκμηρίωση,Alapdokumentáció,Dokumentazzjoni Ewlenija,Documentação principal,Documentaţie principală,Hlavná dokumentácia,Glavna dokumentacija,Huvuddokumentation
Related Documentation,Documentation connexe,Unterstützende Unterlagen,Documentazione correlata,Dokumenty powiązane,Documentación relacionada,Doiciméadacht ghaolmhar,Saistītā dokumentācija,Susiję dokumentai,Свързана документация,Související dokumentace,Relateret dokumentation,Gerelateerde documentatie,Seotud dokumentatsioon,Asiaan liittyvä dokumentaatio,Σχετική τεκμηρίωση,Kapcsolódó dokumentáció,Dokumentazzjoni Relatata,Documentação conexa,Documentaţie conexă,Súvisiaca dokumentácia,Povezana dokumentacija,Relaterad dokumentation
Related Web Page,Page web connexe,Einschlägige Webseite,Pagina web correlata,Powiązane strony internetowe,Página web asociada,Leathanach gréasáin gaolmhar,Saistītā tīmekļa lapa,Susijęs interneto puslapis,Свързана уебстраница,Související webová stránka,Relateret webside,Gerelateerde webpagina,Seonduv veebisait,Asiaan liittyvä verkkosivusto,Σχετική ιστοσελίδα,Kapcsolódó weboldal,Paġna tal-Web Relatata,Página Web conexa,Pagină de internet asociată,Súvisiaca webová lokalita,Povezana spletna stran,Relaterad webbsida
Legal,Juridique,Rechtlich,Giuridica,Prawny,Jurídica,Dlíthiúil,Juridisks,Teisinis,Правно,Právní,Retlig,Juridisch,Juriidiline,Laillinen,Νομικό,Jogi,Legali,Jurídico,Juridică,Právna,Pravna,Rättslig
Organisational,Organisationnel,Organisatorisch,Organizzativa,Organizacyjny,Organizativa,Eagraíochtúil,Organizatorisks,Organizacinis,Организационно,Organizační,Organisatorisk,Organisatorisch,Organisatsiooniline ,Organisatorinen,Οργανωτικό,Szervezeti,Organizzattiv,Organizacional,Organizaţională,Organizačná,Organizacijska,Organisatorisk
Political,Politique,Politisch,Politica,Polityczny,Política,Polaitiúil,Politisks,Politinis,Политическо,Politický,Politisk,Politiek,Poliitiline,Poliittinen,Πολιτικό,Politikai,Politiku,Político,Politică,Politická,Politična,Politisk
Semantic,Sémantique,Semantisch,Semantica,Semantyczny,Semántica,Séimeantach,Semantisks,Semantinis,Семантично,Sémantický,Semantisk,Semantisch,Semantiline,Semanttinen,Σημασιολογικό,Szemantikai,Semantiku,Semântico,Semantică,Sémantická,Semantična,Semantisk
Technical Description,Description technique,Technische Beschreibung,Descrizione tecnica,Opis techniczny,Descripción técnica,Tuairisc theicniúil,Tehnisks apraksts,Techninis aprašas,Техническо описание,Technický,Teknisk beskrivelse,Technisch beschrijvend,Tehniline kirjeldus,Tekninen kuvaus,Τεχνική περιγραφή,Műszaki leírás,Deskrizzjoni Teknika,Descrição técnica,Descriere tehnică,Technický opis,Tehnični opis,Teknisk beskrivning
EuroStat data licence,Licence relative aux données d'Eurostat,Eurostat-Datenlizenz,Licenza per i dati Eurostat,Licencja Eurostatu,Licencia de datos de Eurostat ,Ceadúnas sonraí Eurostat,Eurostat datu licence,Eurostato duomenų licencija,Лиценза за данни на Евростат,Datová licence Eurostatu,Licens for data fra Eurostat,Datalicentie van Eurostat,Eurostati andmelitsents,Eurostatin datalisenssi,Άδεια δεδομένων Eurostat ,Eurostat-engedély,Liċenzja tad-dejta tal-Eurostat,Licença de dados do Eurostat,Licenţă de date Eurostat,Dátová licencia Eurostatu,Licenca za podatke Eurostat,Licens för Eurostatuppgifter
European Commission Open Licence,Licence ouverte de la Commission européenne,Offene Lizenz der Europäischen Kommission,Licenza aperta della Commissione europea,Licencja otwarta Komisji Europejskiej ,Licencia abierta de la Comisión Europea,Ceadúnas Oscailte an Choimisiúin Eorpaigh,Atklāta Eiropas Komisijas licence,Europos Komisijos atviroji licencija,Отворен лиценз на Европейската комисия,Otevřená licence Evropské komise,Åben licens fra Europa-Kommissionen,Open licentie van de Europese Commissie,Euroopa Komisjoni avatud litsents,Euroopan komission avoin lisenssi,Ανοικτή άδεια Ευρωπαϊκής Επιτροπής,Az Európai Bizottság nyílt engedélye,Liċenzja Miftuħa tal-Kummissjoni Ewropea ,Licença aberta da Comissão Europeia,Licenţă deschisă a Comisiei Europene,Otvorená licencia Európskej komisie,Odprta licenca Evropske komisije,Öppen licens från EU-kommissionen
Year,Année,Jahr,Anno,Rok,Año,Bliain,gads,Metai,Година,Rok,År,Jaar,Aasta,Vuosi,Έτος,Év,Sena,Ano,An,Rok,Leto,År
Month,Mois,Monat,Mese,Miesiąc,Mes,Mí,mēnesis,Mėnuo,Месец,Měsíc,Måned,Maand,Kuu,Kuukausi,Μήνας,Hónap,Xahar,Mês,Lună,Mesiac,Mesec,Månad
Day,Jour,Tag,Giorno,Dzień,Día,Lá,diena,Diena,Ден,Den,Dag,Dag,Päev,Päivä,Ημέρα,Nap,Jum,Dia,Zi,Deň,Dan,Dag
